ID,footprint,X,Y,Rotation,PX,PY,PRESENT?
I1,LM6134AIM,33,17.5,90,6,8.65,YES
I2,LM6134AIM,33,35.5,90,6,8.65,YES
R1,153,32,28.5,0,2012,,YES
R2,153,32,23.5,0,2012,,YES
R3,153,32,10.5,0,2012,,YES
R4,153,39.5,30,90,2012,,YES
R5,153,39,22.5,90,2012,,YES
R6,153,39,12,90,2012,,YES
R7,183,24,41,90,2012,,YES
R8,183,24,30,90,2012,,YES
R9,183,23.5,22.5,90,2012,,YES
R10,183,23.5,12,90,2012,,YES
R11,154,14,41.5,90,2012,,NO
R12,154,13.5,30,90,2012,,NO
R13,154,13.5,22.5,90,2012,,NO
R14,154,13.5,12,90,2012,,NO
C1,cap,27,30,90,2012,,YES
C2,cap,27,22.5,90,2012,,YES
C3,cap,27,12,90,2012,,YES
C4,cap,27,41,90,2012,,YES
C5,cap,41,36,0,2012,,YES
